"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","CRM report","Test of creating CRM report","0","0","101","0","0"
"","Basic functionality","Test function for getting an iterable object of random int with a given sum","0","0","28","0","0"
"","Basic functionality","Test function for getting an iterable object of random float with a given sum","0","0","56","0","0"
"","ADV campaign","Test of creating an advertising company with a given price","0","0","126","0","0"
"","Distributions","Test draws a graph with the main indicators of an advertising campaign","1","0","0","0","0"
